Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Bomb","5","26","Reduces enemies' DEF for 1 turn; inflicts 10x ATK attack on 1 enemy","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep.
Inflict damage that has the same Attribute as this monster's original Attributes equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Menace","10","6","Delays enemies' next move for 3 turns","Delay 3 turns to all enemies."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Cure","10","11","Heals 10x RCV in HP, bind status reduced by 3 turns; 1.5x RCV for 7 turns","3 turn bind recovery.
All Attribute cards RCV x1.5 for 7 turns."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","Devil Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Light of Mighty Healing","3","8","Recovers 2,000 HP","Heal 2000 HP"
"Light of Mighty Healing","3","8","Recovers 2,000 HP","Heal 2000 HP"
"Light of Mighty Healing","3","8","Recovers 2,000 HP","Heal 2000 HP"
"Light of Mighty Healing","3","8","Recovers 2,000 HP","Heal 2000 HP"
"Light of Mighty Healing","3","8","Recovers 2,000 HP","Heal 2000 HP"
"Magma Ball","6","10","Inflicts 20,000 Fire Att. damage on all enemies; changes Dark Orbs to Fire Orbs","Inflict 200 Fire damage on all enemies.
Change Dark orbs to Fire orbs."
"Blizzard Ball","6","10","Inflicts 20,000 Water Att. damage on all enemies; changes Light Orbs to Water Orbs","Inflict 200 Water damage on all enemies.
Change Light orbs to Water orbs."
"Gaia Ball","6","10","Inflicts 20,000 Wood Att. damage on all enemies; changes Dark Orbs to Wood Orbs","Inflict 200 Wood damage on all enemies.
Change Dark orbs to Wood orbs."
"Holy Ball","6","10","Inflicts 20,000 Light Att. damage on all enemies; changes Water Orbs to Light Orbs","Inflict 200 Light damage on all enemies.
Change Water orbs to Light orbs."
"Hell Ball","6","10","Inflicts 20,000 Dark Att. damage on all enemies; changes Water Orbs to Dark Orbs","Inflict 200 Dark damage on all enemies.
Change Water orbs to Dark orbs."
"Flame Breath","2","9","Inflicts 5x ATK Fire Mass Attack","Inflict Fire damage equal to ATK x5 to all enemies. Affected by enemy element and defense."
"Splash Breath","2","9","Inflicts 5x ATK Water Mass Attack","Inflict Water damage equal to ATK x5 to all enemies. Affected by enemy element and defense."
"Rock Breath","2","9","Inflicts 5x ATK Wood Mass Attack","Inflict Wood damage equal to ATK x5 to all enemies. Affected by enemy element and defense."
"Plasma Breath","3","8","Inflicts 5x ATK Light Mass Attack","Inflict Light damage equal to ATK x5 to all enemies. Affected by enemy element and defense."
"Curse Breath","3","8","Inflicts 5x ATK Dark Mass Attack","Inflict Dark damage equal to ATK x5 to all enemies. Affected by enemy element and defense."
"Attack Stance - Water","5","7","Changes Heal Orbs to Water Orbs","Change Heart orbs to Water orbs."
"Attack Stance - Water","5","7","Changes Heal Orbs to Water Orbs","Change Heart orbs to Water orbs."
"Attack Stance - Wood","5","7","Changes Jammers, Poison & Heal Orbs to Wood Orbs","Changes Heart, Jammer, Poison & Mortal Poison orbs into Wood orbs."
"Attack Stance - Wood","5","7","Changes Jammers, Poison & Heal Orbs to Wood Orbs","Changes Heart, Jammer, Poison & Mortal Poison orbs into Wood orbs."
"Attack Stance - Light","5","7","Changes Heal Orbs to Light Orbs","Change Heart orbs to Light orbs."
"Attack Stance - Light","5","7","Changes Heal Orbs to Light Orbs","Change Heart orbs to Light orbs."
"Astray Mist","9","8","Voids enemies' DEF for 1 turn;
halves damage for 1 turn","Voids enemies' DEF for 1 turn;
halves damage for 1 turn"
"Orb Refresh","6","7","Replaces all Orbs","Replace all orbs"
"Fire Orb Change","5","5","Changes Water Orbs to Fire Orbs","Change Water orbs to Fire orbs."
"Water Orb Change","5","5","Changes Wood Orbs to Water Orbs","Change Wood orbs to Water orbs."
"Wood Orb Change","5","5","Changes Fire Orbs to Wood Orbs","Change Fire orbs to Wood orbs."
"Light Orb Change","5","5","Changes Dark Orbs to Light Orbs","Change Dark orbs to Light orbs."
"Dark Orb Change","5","5","Changes Light Orbs to Dark Orbs","Change Light orbs to Dark orbs."
"Summon Light","6","6","Creates 5 Light Orbs at random;
Light Orbs enhanced","Creates 5 Light Orbs at random;
Light Orbs enhanced"
"ファミ通Appの怒り","3","1","832ダメージの光属性攻撃","832ダメージの光属性攻撃"
"The Third Eye","11","12","Voids enemies' DEF for 1 turn; Fire Orbs enhanced","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Enhance Fire orbs."
"The Third Eye","11","12","Voids enemies' DEF for 1 turn; Fire Orbs enhanced","Reduce enemies' defense by 100% for 1 turn. Effects carry forward on sweep.
Enhance Fire orbs."
"Magic-Draining Light","10","14","Inflicts 50x ATK attack on 1 enemy, recovers
half of the damage in HP; Water Orbs enhanced","Inflict damage equal to ATK x50 to 1 enemy, and drain 0.5% of the damage you dealt. Affected by enemy element and defense.
Enhance Water orbs."
"Magic-Draining Light","10","14","Inflicts 50x ATK attack on 1 enemy, recovers
half of the damage in HP; Water Orbs enhanced","Inflict damage equal to ATK x50 to 1 enemy, and drain 0.5% of the damage you dealt. Affected by enemy element and defense.
Enhance Water orbs."
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Change Water orbs to Heart orbs."
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Change Water orbs to Heart orbs."
"Heroic Dragon Guard","15","6","Vastly reduces damage for 3 turns","75% damage reduction for 3 turns."
"Heroic Dragon Guard","15","6","Vastly reduces damage for 3 turns","75% damage reduction for 3 turns."
"Grudge Strike","7","9","The less HP you have the more Dark damage caused; 1.5x ATK for Dark Att. for 1 turn","Inflict Dark damage to all enemies based on player's HP (10x at full HP, up to x150 at 1 HP). Affected by enemy element and defense.
Dark Attribute ATK x1.5 for 1 turns."
"Grudge Strike","7","9","The less HP you have the more Dark damage caused; 1.5x ATK for Dark Att. for 1 turn","Inflict Dark damage to all enemies based on player's HP (10x at full HP, up to x150 at 1 HP). Affected by enemy element and defense.
Dark Attribute ATK x1.5 for 1 turns."
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"Summon Darkness","6","6","Creates 5 Dark Orbs at random;
Dark Orbs enhanced","Creates 5 Dark Orbs at random;
Dark Orbs enhanced"
"None","1","0","",""
"Double Fire Guard","7","6","Changes Wood, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Wood, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns"
"Dragon Strike Stance - Fire","6","6","Changes Heal Orbs to Fire Orbs,
reduces bind status by 5 turns","Changes Heal Orbs to Fire Orbs,
reduces bind status by 5 turns"
"None","1","0","",""
"Double Water Guard","5","8","Changes Fire, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Fire, Dark & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns"
"Dragon Strike Stance - Water","6","6","Changes Heal Orbs to Water Orbs;
reduces bind status by 5 turns","Changes Heal Orbs to Water Orbs;
reduces bind status by 5 turns"
"None","1","0","",""
"Double Wood Guard","5","8","Changes Water, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns","Changes Water, Light & Poison Orbs to Heal Orbs;
reduces bind status by 3 turns"
"Dragon Strike Stance - Wood","6","6","Changes Heal Orbs to Wood Orbs;
reduces bind status by 5 turns","Changes Heal Orbs to Wood Orbs;
reduces bind status by 5 turns"
"Double Attack Stance-Dk","8","9","Changes Light & Heal Orbs to Dark Orbs","Changes Light & Heal Orbs to Dark Orbs"
"Heat Breath","3","6","Inflicts 10x ATK Fire Mass Attack","Inflict Fire damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Magma Breath","4","23","1.5x ATK for Fire Att. for 2 turns; inflicts 20x ATK Fire Att. Mass Attack","Fire Attribute ATK x1.5 for 2 turns.
Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Cold Breath","3","6","Inflicts 10x ATK Water Mass Attack","Inflict Water damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Blizzard Breath","4","23","1.5x ATK for Water Att. for 2 turns; inflicts 20x ATK Water Att. Mass Attack","Water Attribute ATK x1.5 for 2 turns.
Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Wind Breath","3","6","Inflicts 10x ATK Wood Mass Attack","Inflict Wood damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Gaia Breath","4","23","1.5x ATK for Wood Att. for 2 turns; inflicts 20x ATK Wood Att. Mass Attack","Wood Attribute ATK x1.5 for 2 turns.
Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Flash Breath","3","6","Inflicts 10x ATK Light Mass Attack","Inflict Light damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Holy Breath","4","23","1.5x ATK for Light Att. for 2 turns; inflicts 20x ATK Light Att. Mass Attack","Light Attribute ATK x1.5 for 2 turns.
Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"Dark Breath","3","6","Inflicts 10x ATK Dark Mass Attack","Inflict Dark damage equal to ATK x10 to all enemies. Affected by enemy element and defense."
"Inferno Breath","4","23","1.5x ATK for Dark Att. for 2 turns; inflicts 20x ATK Dark Att. Mass Attack","Dark Attribute ATK x1.5 for 2 turns.
Inflict Dark damage equal to ATK x20 to all enemies. Affected by enemy element and defense."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Quick Bomb","3","8","Halves enemies' DEF for 1 turn; inflicts 99 damage on 1 enemy","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep.
Deal 99 damage to 1 enemy. Ignore enemy element and defense."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Cure","10","11","Heals 10x RCV in HP, bind status reduced by 3 turns; 1.5x RCV for 7 turns","3 turn bind recovery.
All Attribute cards RCV x1.5 for 7 turns."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Iron Wall Stance","15","6","Halves damage for 5 turns","50% damage reduction for 5 turns."
"無し","1","0","","Inflict Fire damage equal to ATK x1 to all enemies. Affected by enemy element and defense."
"Poison Mist","10","6","1.5x ATK for Devil Type for 1 turn;
poisons all enemies","Devil Type cards ATK x1.5 for 1 turn.
Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Heal","5","6","Heals 5x RCV in HP, bind status reduced by 2 turns; 1.5x RCV for 3 turns","2 turn bind recovery.
All Attribute cards RCV x1.5 for 3 turns."
"Blast Cannon","5","16","Inflicts 30,000 Fire Att. damage on all enemies; Fire Orbs enhanced","Inflict 300 Fire damage on all enemies.
Enhance Fire orbs."
"Blizzard Cannon","5","16","Inflicts 30,000 Water Att. damage on all enemies; Water Orbs enhanced","Inflict 300 Water damage on all enemies.
Enhance Water orbs."
"Tornado Cannon","5","16","Inflicts 30,000 Wood Att. damage on all enemies; Wood Orbs enhanced","Inflict 300 Wood damage on all enemies.
Enhance Wood orbs."
"Plasma Cannon","5","16","Inflicts 30,000 Light Att. damage on all enemies; Light Orbs enhanced","Inflict 300 Light damage on all enemies.
Enhance Light orbs."
"Gravity Cannon","5","16","Inflicts 30,000 Dark Att. damage on all enemies; Dark Orbs enhanced","Inflict 300 Dark damage on all enemies.
Enhance Dark orbs."
"Guard Stance - Fire","5","7","Changes Wood Orbs to Heal Orbs","Change Wood orbs to Heart orbs."
"Guard Stance - Fire","5","7","Changes Wood Orbs to Heal Orbs","Change Wood orbs to Heart orbs."
"Guard Stance - Fire","5","7","Changes Wood Orbs to Heal Orbs","Change Wood orbs to Heart orbs."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Change Fire orbs to Heart orbs."
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Change Water orbs to Heart orbs."
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Change Water orbs to Heart orbs."
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Change Water orbs to Heart orbs."
"Guard Stance - Light","5","7","Changes Dark Orbs to Heal Orbs","Change Dark orbs to Heart orbs."
"Guard Stance - Light","5","7","Changes Dark Orbs to Heal Orbs","Change Dark orbs to Heart orbs."
"Guard Stance - Light","5","7","Changes Dark Orbs to Heal Orbs","Change Dark orbs to Heart orbs."
"Guard Stance - Dark","5","7","Changes Light Orbs to Heal Orbs","Change Light orbs to Heart orbs."
"Guard Stance - Dark","5","7","Changes Light Orbs to Heal Orbs","Change Light orbs to Heart orbs."
"Guard Stance - Dark","5","7","Changes Light Orbs to Heal Orbs","Change Light orbs to Heart orbs."
"None","1","0","",""
"Guard Stance - Fire","5","7","Changes Wood Orbs to Heal Orbs","Changes Wood Orbs to Heal Orbs"
"None","1","0","",""
"Guard Stance - Water","5","7","Changes Fire Orbs to Heal Orbs","Changes Fire Orbs to Heal Orbs"
"None","1","0","",""
"Guard Stance - Wood","5","7","Changes Water Orbs to Heal Orbs","Changes Water Orbs to Heal Orbs"
"Double Attack Stance-Lt","8","9","Changes Dark & Heal Orbs to Light Orbs","Changes Dark & Heal Orbs to Light Orbs"
"Freeze Strike","2","14","Inflicts 100,000 Water Att. damage
on Fire Att. enemies","Deal 100,000 Water damage to all Fire enemies. Affected by enemy element and defense."
"Rock Strike","2","14","Inflicts 100,000 Wood Att. damage
on Water Att. enemies","Deal 100,000 Wood damage to all Water enemies. Affected by enemy element and defense."
"Flame Strike","2","14","Inflicts 100,000 Fire Att. damage
on Wood Att. enemies","Deal 100,000 Fire damage to all Wood enemies. Affected by enemy element and defense."
"Rock Strike","2","14","Inflicts 100,000 Wood Att. damage
on Water Att. enemies","Deal 100,000 Wood damage to all Water enemies. Affected by enemy element and defense."
"Flame Strike","2","14","Inflicts 100,000 Fire Att. damage
on Wood Att. enemies","Deal 100,000 Fire damage to all Wood enemies. Affected by enemy element and defense."
"Freeze Strike","2","14","Inflicts 100,000 Water Att. damage
on Fire Att. enemies","Deal 100,000 Water damage to all Fire enemies. Affected by enemy element and defense."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
"Defensive Stance","10","11","Halves damage for 3 turns","50% damage reduction for 3 turns."
